대학명,모집단위,권역,지역,세부지역,계열,모집단위2027,교과1전형,교과1_50,교과1_70,교과1_50_5,교과1_70_5,교과2전형,교과2_50,교과2_70,교과2_50_5,교과2_70_5,교과3전형,교과3_50,교과3_70,교과3_50_5,교과3_70_5,종합1전형,종합1_50,종합1_70,종합1_50_5,종합1_70_5,종합2전형,종합2_50,종합2_70,종합2_50_5,종합2_70_5,정시백분위,정시영어한국사,정시반영영역
가야대,간호학과,경상권,경남,김해시,자연,간호학과,가야인재,3.38,3.5,2.05,2.12,일반,2.75,3.13,1.72,1.92,,,,,,,,,,,,,,,,,4/3,"국수영 중 2개, 탐(1)한"
가야대,물리치료학과,경상권,경남,김해시,자연,물리치료학과,가야인재,3.75,3.88,2.25,2.33,일반,2.75,2.75,1.72,1.72,,,,,,,,,,,,,,,,,3/1,"국수영 중 2개, 탐(1)한"
가야대,방사선학과,경상권,경남,김해시,자연,방사선학과,일반,3.75,3.88,2.25,2.33,,,,,,,,,,,,,,,,,,,,,,3/1,"국수영 중 2개, 탐(1)한"
가야대,사회복지상담학과,경상권,경남,김해시,인문,사회복지상담학과,일반,6,7,3.54,4.06,,,,,,,,,,,,,,,,,,,,,,-/-,"국수영 중 2개, 탐(1)한"
가야대,스포츠재활복지학과,경상권,경남,김해시,자연,스포츠재활복지학과,일반,4.25,4.5,2.55,2.69,,,,,,,,,,,,,,,,,,,,,,6/6,"국수영 중 2개, 탐(1)한"
가야대,자유전공학부,경상권,경남,김해시,공통,자유전공학부,일반,,,,,,,,,,,,,,,,,,,,,,,,,,-/-,"국수영 중 2개, 탐(1)한"
가야대,특수교육과,경상권,경남,김해시,인문,특수교육과,일반,4.88,5.13,2.91,3.05,,,,,,,,,,,,,,,,,,,,,,6/6,"국수영 중 2개, 탐(1)한"
가천대,AI인문대학,경인권,경기,성남시,인문,AI인문대학,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.78,3.95,2.27,2.37,,,,,,80.5,3/1,국수영탐(1) 중 3개
가천대,AI인문대학,경인권,경기,성남시,인문,AI인문대학,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.78,3.95,2.27,2.37,,,,,,85.7,3/2,국수영탐(1)
가천대,건설환경공학과,경인권,경기,성남시,자연,건설환경공학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.63,3.78,2.19,2.27,,,,,,85.55,2/2,국수영탐(1)
가천대,건축공학과,경인권,경기,성남시,자연,건축공학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.61,3.92,2.18,2.35,,,,,,87.7,3/5,국수영탐(1)
가천대,건축학부,경인권,경기,성남시,자연,건축학부,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.55,3.94,2.14,2.36,,,,,,85.5,2/1,국수영탐(1) 중 3개
가천대,건축학부,경인권,경기,성남시,자연,건축학부,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.55,3.94,2.14,2.36,,,,,,87.15,2/1,국수영탐(1)
가천대,게임・영상학과,경인권,경기,성남시,자연,게임・영상학과,,,,,,,,,,,,,,,,조기취업형계약학과,4.06,4.95,2.43,2.95,,,,,,,-/-,
가천대,경영학과,경인권,경기,성남시,인문,경영학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.6,3.9,2.17,2.34,,,,,,82.4,2/2,국수영탐(1) 중 3개
가천대,경영학과,경인권,경기,성남시,인문,경영학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.6,3.9,2.17,2.34,,,,,,86.95,3/4,국수영탐(1)
가천대,경제학과,경인권,경기,성남시,인문,경제학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.51,3.83,2.12,2.3,,,,,,86,2/2,국수영탐(1)
가천대,관광경영학과,경인권,경기,성남시,인문,관광경영학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.66,3.76,2.2,2.26,,,,,,85.75,2/1,국수영탐(1)
가천대,금융・빅데이터학부,경인권,경기,성남시,자연,금융・빅데이터학부,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.37,3.51,2.04,2.12,,,,,,85,3/3,국수영탐(1) 중 3개
가천대,금융・빅데이터학부,경인권,경기,성남시,자연,금융・빅데이터학부,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.37,3.51,2.04,2.12,,,,,,86.2,3/2,국수영탐(1)
가천대,기계공학부,경인권,경기,성남시,자연,기계공학부,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.62,3.95,2.18,2.37,,,,,,86.2,2/1,국수영탐(1) 중 3개
가천대,기계공학부,경인권,경기,성남시,자연,기계공학부,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.62,3.95,2.18,2.37,,,,,,87.4,3/1,국수영탐(1)
가천대,도시계획・조경학부,경인권,경기,성남시,자연,도시계획・조경학부,학생부우수자,,,,,,,,,,,,,,,가천바람개비,4.03,4.15,2.42,2.49,,,,,,84.25,2/4,국수영탐(1)
가천대,미디어커뮤니케이션학과,경인권,경기,성남시,인문,미디어커뮤니케이션학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.54,3.86,2.14,2.32,,,,,,87.55,3/2,국수영탐(1)
가천대,미래자동차학과,경인권,경기,성남시,자연,미래자동차학과,,,,,,,,,,,,,,,,조기취업형계약학과,4.31,5.35,2.58,3.17,,,,,,,-/-,
가천대,바이오나노학과,경인권,경기,성남시,자연,바이오나노학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.01,3.15,1.86,1.93,,,,,,86.75,2/2,국수영탐(1)
가천대,바이오로직스학과,경인권,경기,성남시,자연,바이오로직스학과,,,,,,,,,,,,,,,,가천바람개비,3.19,3.33,1.95,2.03,,,,,,87.9,3/1,국수영탐(1)
가천대,바이오의료기기학과,경인권,경기,성남시,자연,바이오의료기기학과,,,,,,,,,,,,,,,,조기취업형계약학과,4.42,4.88,2.64,2.91,,,,,,,-/-,
가천대,반도체・디스플레이학과,경인권,경기,성남시,자연,반도체・디스플레이학과,,,,,,,,,,,,,,,,조기취업형계약학과,4.15,4.6,2.49,2.75,,,,,,,-/-,
가천대,반도체대학,경인권,경기,성남시,자연,반도체대학,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.39,3.55,2.05,2.14,,,,,,89.1,3/2,국수영탐(1) 중 3개
가천대,반도체대학,경인권,경기,성남시,자연,반도체대학,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.39,3.55,2.05,2.14,,,,,,88.5,3/1,국수영탐(1)
가천대,반도체물리학과,경인권,경기,성남시,자연,반도체물리학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,4.31,4.34,2.58,2.6,,,,,,86.75,2/2,국수영탐(1)
가천대,반도체설계학과,경인권,경기,성남시,자연,반도체설계학과,,,,,,,,,,,,,,,,조기취업형계약학과,4.52,4.81,2.7,2.87,,,,,,,-/-,
가천대,법과대학,경인권,경기,성남시,인문,법과대학,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.56,3.64,2.15,2.19,,,,,,82.9,3/2,국수영탐(1) 중 3개
가천대,법과대학,경인권,경기,성남시,인문,법과대학,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.56,3.64,2.15,2.19,,,,,,85.9,2/1,국수영탐(1)
가천대,사회복지학과,경인권,경기,성남시,인문,사회복지학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,4.06,4.14,2.43,2.48,,,,,,85.75,3/3,국수영탐(1)
가천대,생명과학과,경인권,경기,성남시,자연,생명과학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,2.85,3.71,1.77,2.23,,,,,,86.4,3/3,국수영탐(1)
가천대,스마트시티학과,경인권,경기,성남시,자연,스마트시티학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,4.17,4.23,2.5,2.53,,,,,,85.95,4/2,국수영탐(1)
가천대,스마트팩토리학과,경인권,경기,성남시,자연,스마트팩토리학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,4.04,4.06,2.42,2.43,,,,,,86.9,4/1,국수영탐(1)
가천대,시스템반도체학과,경인권,경기,성남시,자연,시스템반도체학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.44,3.56,2.08,2.15,,,,,,88.45,2/1,국수영탐(1)
가천대,식품생명공학과,경인권,경기,성남시,자연,식품생명공학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.24,3.56,1.97,2.15,,,,,,86.55,2/1,국수영탐(1)
가천대,식품영양학과,경인권,경기,성남시,자연,식품영양학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.62,3.86,2.18,2.32,,,,,,85.8,3/1,국수영탐(1)
가천대,신소재공학과,경인권,경기,성남시,자연,신소재공학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.18,3.54,1.94,2.14,,,,,,85.2,3/3,국수영탐(1)
가천대,심리학과,경인권,경기,성남시,인문,심리학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.18,3.28,1.94,1.99,,,,,,87,3/3,국수영탐(1)
가천대,유아교육학과,경인권,경기,성남시,인문,유아교육학과,지역균형,,,,,학생부우수자,,,,,,,,,,가천바람개비,3.51,3.79,2.12,2.28,,,,,,83.2,4/5,국수영탐(1)
가천대,응용통계학과,경인권,경기,성남시,인문,응용통계학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.51,3.55,2.12,2.14,,,,,,86.05,2/2,국수영탐(1)
가천대,의공학과,경인권,경기,성남시,자연,의공학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.51,3.61,2.12,2.18,,,,,,86.2,3/2,국수영탐(1)
가천대,의료산업경영학과,경인권,경기,성남시,인문,의료산업경영학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.85,3.87,2.31,2.32,,,,,,86.3,4/2,국수영탐(1)
가천대,인공지능학과,경인권,경기,성남시,자연,인공지능학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.62,3.74,2.18,2.25,,,,,,86.6,2/3,국수영탐(1) 중 3개
가천대,인공지능학과,경인권,경기,성남시,자연,인공지능학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.62,3.74,2.18,2.25,,,,,,87.5,3/3,국수영탐(1)
가천대,자유전공학부,경인권,경기,성남시,공통,자유전공학부,지역균형,,,,,,,,,,,,,,,,,,,,,,,,,,-/-,
가천대,전기공학과,경인권,경기,성남시,자연,전기공학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.37,3.45,2.04,2.09,,,,,,87.9,3/4,국수영탐(1)
가천대,스마트보안학과,경인권,경기,성남시,자연,정보보호학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.9,4.05,2.34,2.43,,,,,,87.3,1/1,국수영탐(1)
가천대,컴퓨터공학과,경인권,경기,성남시,자연,컴퓨터공학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.33,3.46,2.03,2.09,,,,,,86.8,2/5,국수영탐(1)
가천대,컴퓨터공학과,경인권,경기,성남시,자연,컴퓨터공학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.33,3.46,2.03,2.09,,,,,,83.7,1/1,국수영탐(1) 중 3개
가천대,패션산업학과,경인권,경기,성남시,인문,패션산업학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.79,3.9,2.28,2.34,,,,,,86.75,2/4,국수영탐(1)
가천대,한의예과,경인권,경기,성남시,의약학,한의예과,학생부우수자,,,,,,,,,,,,,,,가천의약학,1.95,1.95,1.29,1.29,,,,,,97.175,2/1,국수영탐(2)
가천대,화공생명배터리공학부,경인권,경기,성남시,자연,화공생명배터리공학부,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.66,3.86,2.2,2.32,,,,,,86.6,4/5,국수영탐(1)
가천대,화공생명배터리공학부,경인권,경기,성남시,자연,화공생명배터리공학부,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.66,3.86,2.2,2.32,,,,,,84.7,2/4,국수영탐(1) 중 3개
가천대,화학과,경인권,경기,성남시,자연,화학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.65,3.67,2.2,2.21,,,,,,85.9,3/2,국수영탐(1)
가천대,회계세무학과,경인권,경기,성남시,인문,회계세무학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.52,3.53,2.13,2.13,,,,,,86.75,2/2,국수영탐(1)
가천대,간호학과,경인권,인천,연수구,자연,간호학과,학생부우수자,,,,,지역균형,,,,,,,,,,가천바람개비,2.79,2.88,1.74,1.78,,,,,,88,2/1,국수영탐(1) 중 3개
가천대,간호학과,경인권,인천,연수구,자연,간호학과,학생부우수자,,,,,지역균형,,,,,,,,,,가천바람개비,2.79,2.88,1.74,1.78,,,,,,89.55,2/3,국수영탐(1)
가천대,물리치료학과,경인권,인천,연수구,자연,물리치료학과,지역균형,,,,,학생부우수자,,,,,,,,,,가천바람개비,3.31,3.48,2.01,2.1,,,,,,87.35,2/2,국수영탐(1)
가천대,바이오로직스학과,경인권,인천,연수구,자연,바이오로직스학과,학생부우수자,,,,,,,,,,,,,,,,,,,,,,,,,83.8,2/1,국수영탐(1) 중 3개
가천대,방사선학과,경인권,인천,연수구,자연,방사선학과,지역균형,,,,,학생부우수자,,,,,,,,,,가천바람개비,3.05,3.05,1.88,1.88,,,,,,89.3,2/2,국수영탐(1)
가천대,약학과,경인권,인천,연수구,의약학,약학과,학생부우수자,,,,,,,,,,,,,,,가천의약학,2.39,2.69,1.52,1.68,,,,,,96.575,2/3,국수영탐(2)
가천대,운동재활학과,경인권,인천,연수구,자연,운동재활학과,학생부우수자,,,,,,,,,,,,,,,가천바람개비,3.71,3.92,2.23,2.35,,,,,,86.5,3/4,국수영탐(1)
가천대,응급구조학과,경인권,인천,연수구,자연,응급구조학과,,,,,,,,,,,,,,,,가천바람개비,4.13,4.64,2.48,2.77,,,,,,81.95,3/5,국수영탐(1)
가천대,의예과,경인권,인천,연수구,의약학,의예과,학생부우수자,,,,,,,,,,,,,,,가천의약학,1.71,1.81,1.18,1.22,,,,,,98.675,1/1,국수영탐(2)
가천대,치위생학과,경인권,인천,연수구,자연,치위생학과,지역균형,,,,,학생부우수자,,,,,,,,,,가천바람개비,3.3,3.67,2.01,2.21,,,,,,85.55,3/3,국수영탐(1)
가톨릭관동대,AI・소프트웨어융합학부,강원권,강원,강릉시,자연,AI・소프트웨어융합학부,일반,3.74,4.81,2.25,2.87,,,,,,,,,,,,,,,,,,,,,53.25,4/4,"국수탐(2) 중 2개, 영"
가톨릭관동대,CG디자인전공,강원권,강원,강릉시,예체능,CG디자인전공,일반,4.83,5.67,2.88,3.36,,,,,,,,,,,,,,,,,,,,,37.5,4/1,"국수탐(2) 중 2개, 영"
가톨릭관동대,간호학과,강원권,강원,강릉시,자연,간호학과,일반,2.9,3.04,1.8,1.87,,,,,,,,,,,일반,3.11,3.16,1.91,1.93,가톨릭지도자추천,3.26,3.38,1.99,2.05,74.85714285714286,4/2,국수영탐(2)
가톨릭관동대,건축공학전공,강원권,강원,강릉시,자연,건축학부,일반,5.53,6,3.27,3.54,,,,,,,,,,,,,,,,,,,,,47.5,4/7,"국수탐(2) 중 2개, 영"
가톨릭관동대,건축학전공(5년제),강원권,강원,강릉시,자연,건축학부,일반,4.46,4.57,2.67,2.73,,,,,,,,,,,,,,,,,,,,,47.5,4/7,"국수탐(2) 중 2개, 영"
가톨릭관동대,경영학전공,강원권,강원,강릉시,인문,경영학전공,일반,5.05,5.07,3,3.02,,,,,,,,,,,,,,,,,,,,,49.5,4/5,"국수탐(2) 중 2개, 영"
가톨릭관동대,경찰학부,강원권,강원,강릉시,인문,경찰학부,일반,5.26,5.63,3.12,3.33,,,,,,,,,,,일반,4.87,5,2.9,2.97,,,,,,58.5,3/3,"국수탐(2) 중 2개, 영"
가톨릭관동대,국어교육과,강원권,강원,강릉시,인문,국어교육과,일반,3.37,3.62,2.04,2.18,,,,,,,,,,,일반,3.37,3.7,2.04,2.23,,,,,,,-/-,
가톨릭관동대,미디어콘텐츠전공,강원권,강원,강릉시,인문,미디어콘텐츠전공,일반,4.48,4.81,2.68,2.87,,,,,,,,,,,,,,,,,,,,,43.75,4/4,"국수탐(2) 중 2개, 영"
가톨릭관동대,사회복지학전공,강원권,강원,강릉시,인문,사회복지학전공,일반,5.29,5.95,3.13,3.52,,,,,,,,,,,일반,5.36,5.36,3.17,3.17,,,,,,44.5,5/5,"국수탐(2) 중 2개, 영"
가톨릭관동대,의생명과학전공,강원권,강원,강릉시,자연,생명과학전공,일반,4.25,4.34,2.55,2.6,,,,,,,,,,,,,,,,,,,,,54.5,4/4,"국수탐(2) 중 2개, 영"
가톨릭관동대,수학교육과,강원권,강원,강릉시,자연,수학교육과,일반,3.29,3.61,2,2.18,,,,,,,,,,,,,,,,,,,,,67.5,2/2,"국수탐(2) 중 2개, 영"
가톨릭관동대,스마트항만공학전공,강원권,강원,강릉시,자연,스마트항만공학전공,,,,,,,,,,,,,,,,채용조건형계약학과,,,,,,,,,,,-/-,
가톨릭관동대,스포츠재활의학전공,강원권,강원,강릉시,예체능,스포츠재활의학전공,운동선수출신,4.03,4.3,2.42,2.58,,,,,,,,,,,,,,,,,,,,,,-/-,
가톨릭관동대,실용음악전공,강원권,강원,강릉시,예체능,실용음악전공,일반,5.2,5.79,3.09,3.42,,,,,,,,,,,,,,,,,,,,,27.5,8/7,"국수탐(2) 중 2개, 영"
가톨릭관동대,역사교육과,강원권,강원,강릉시,인문,역사교육과,일반,2.85,3,1.77,1.85,,,,,,,,,,,일반,3.03,3.42,1.87,2.07,가톨릭지도자추천,3.61,3.61,2.18,2.18,76.25,3/1,"국수탐(2) 중 2개, 영"
가톨릭관동대,영어교육과,강원권,강원,강릉시,인문,영어교육과,일반,4.04,4.33,2.42,2.59,,,,,,,,,,,,,,,,,,,,,68.25,4/4,"국수탐(2) 중 2개, 영"
가톨릭관동대,의학과(의예과),강원권,강원,강릉시,의약학,의학과(의예과),일반,1.08,1.1,1,1,,,,,,,,,,,일반,1.2,1.21,1,1,가톨릭지도자추천,1.31,1.31,1.04,1.04,96.6875,1/1,국수영탐(2)
가톨릭관동대,임상병리학과,강원권,강원,강릉시,자연,임상병리학과,일반,2.74,2.9,1.71,1.8,,,,,,,,,,,일반,3.63,3.63,2.19,2.19,,,,,,75.75,4/4,"국수탐(2) 중 2개, 영"
가톨릭관동대,자율전공학부,강원권,강원,강릉시,인문,자율전공학부,일반,5.4,5.93,3.2,3.5,,,,,,,,,,,,,,,,,,,,,45.75,4/6,"국수탐(2) 중 2개, 영"
가톨릭관동대,작업치료학과,강원권,강원,강릉시,자연,작업치료학과,일반,4.33,4.48,2.59,2.68,,,,,,,,,,,일반,4.14,5.15,2.48,3.06,,,,,,47.5,5/8,"국수탐(2) 중 2개, 영"
가톨릭관동대,조리외식경영학전공,강원권,강원,강릉시,인문,조리외식경영학전공,일반,5.14,5.92,3.05,3.5,,,,,,,,,,,,,,,,,,,,,39,5/1,"국수탐(2) 중 2개, 영"
가톨릭관동대,지리교육과,강원권,강원,강릉시,인문,지리교육과,일반,2.74,2.92,1.71,1.81,,,,,,,,,,,일반,2.55,3.06,1.61,1.88,가톨릭지도자추천,5.45,5.45,3.23,3.23,75,3/3,"국수탐(2) 중 2개, 영"
가톨릭관동대,체육교육과,강원권,강원,강릉시,예체능,체육교육과,,,,,,,,,,,,,,,,가톨릭지도자추천,2.55,2.55,1.61,1.61,,,,,,,-/-,
가톨릭관동대,치위생학과,강원권,강원,강릉시,자연,치위생학과,일반,3.52,3.68,2.13,2.21,,,,,,,,,,,일반,4.32,4.67,2.59,2.79,,,,,,63.75,4/6,"국수탐(2) 중 2개, 영"
가톨릭관동대,컴퓨터교육과,강원권,강원,강릉시,자연,컴퓨터교육과,일반,3.82,4.14,2.29,2.48,,,,,,,,,,,일반,3.61,4.4,2.18,2.63,,,,,,64.5,4/6,"국수탐(2) 중 2개, 영"
가톨릭관동대,항공교통물류전공,강원권,강원,강릉시,자연,항공교통물류전공,일반,4.96,5.19,2.95,3.08,,,,,,,,,,,,,,,,,,,,,49.25,3/4,"국수탐(2) 중 2개, 영"
가톨릭관동대,항공운항전공,강원권,강원,강릉시,자연,항공운항전공,일반,4.92,5.12,2.93,3.04,,,,,,,,,,,,,,,,,,,,,62.25,4/7,"국수탐(2) 중 2개, 영"
가톨릭관동대,항공정비학전공,강원권,강원,강릉시,자연,항공정비학전공,일반,4.43,4.72,2.65,2.82,,,,,,,,,,,일반,3.98,4.98,2.39,2.96,,,,,,77,4/1,"국수탐(2) 중 2개, 영"
가톨릭꽃동네대,간호학과,충청권,충북,청주시,자연,간호학과,일반학생,2.54,3.67,1.6,2.21,휴먼리더면접,4.03,4.89,2.42,2.91,가톨릭지도자추천,4.04,5.33,2.42,3.16,,,,,,,,,,,63.45,4/-,"국수 중 1개, 영탐(2)"
가톨릭꽃동네대,자율전공학부,충청권,충북,청주시,공통,자율전공학부,일반학생,4.64,5.5,2.77,3.25,가톨릭지도자추천,,,,,,,,,,,,,,,,,,,,,5/-,"국수 중 1개, 영탐(2)"
가톨릭대,AI의공학과,경인권,경기,부천시,자연,AI의공학과,지역균형,2.91,2.93,1.8,1.81,,,,,,,,,,,잠재능력우수자면접,,,,,잠재능력우수자서류,2.73,2.91,1.71,1.8,85.9,2/3,국수영탐(1)
가톨릭대,경영학과,경인권,경기,부천시,인문,경영학과,지역균형,2.34,2.39,1.49,1.52,,,,,,,,,,,잠재능력우수자면접,3.3,3.77,2.01,2.27,잠재능력우수자서류,3.17,3.25,1.94,1.98,85,1/3,국수영탐(1)
가톨릭대,경영학과,경인권,경기,부천시,인문,경영학과,지역균형,2.34,2.39,1.49,1.52,,,,,,,,,,,잠재능력우수자면접,3.3,3.77,2.01,2.27,잠재능력우수자서류,3.17,3.25,1.94,1.98,92.5,3/2,"국수 중 1개, 탐(1)"
가톨릭대,경제학과,경인권,경기,부천시,인문,경제학과,지역균형,2.59,2.82,1.63,1.75,,,,,,,,,,,잠재능력우수자면접,3.22,3.38,1.96,2.05,잠재능력우수자서류,3.04,3.09,1.87,1.9,85,1/3,국수영탐(1)
가톨릭대,경제학과,경인권,경기,부천시,인문,경제학과,지역균형,2.59,2.82,1.63,1.75,,,,,,,,,,,잠재능력우수자면접,3.22,3.38,1.96,2.05,잠재능력우수자서류,3.04,3.09,1.87,1.9,92.5,3/2,"국수 중 1개, 탐(1)"
가톨릭대,공간디자인・소비자학과,경인권,경기,부천시,자연,공간디자인・소비자학과,지역균형,2.6,2.6,1.63,1.63,,,,,,,,,,,잠재능력우수자서류,3.24,3.28,1.97,1.99,,,,,,86.7,1/3,국수영탐(1)
가톨릭대,공간디자인・소비자학과,경인권,경기,부천시,자연,공간디자인・소비자학과,지역균형,2.6,2.6,1.63,1.63,,,,,,,,,,,잠재능력우수자서류,3.24,3.28,1.97,1.99,,,,,,93,4/3,"국수 중 1개, 탐(1)"
가톨릭대,국사학과,경인권,경기,부천시,인문,국사학과,지역균형,2.75,2.76,1.72,1.72,,,,,,,,,,,잠재능력우수자면접,3.46,3.52,2.09,2.13,잠재능력우수자서류,3.25,3.25,1.98,1.98,85,1/3,국수영탐(1)
가톨릭대,국사학과,경인권,경기,부천시,인문,국사학과,지역균형,2.75,2.76,1.72,1.72,,,,,,,,,,,잠재능력우수자면접,3.46,3.52,2.09,2.13,잠재능력우수자서류,3.25,3.25,1.98,1.98,92.5,3/2,"국수 중 1개, 탐(1)"
가톨릭대,국어국문학과,경인권,경기,부천시,인문,국어국문학과,지역균형,2.54,2.76,1.6,1.72,,,,,,,,,,,잠재능력우수자면접,3.32,3.47,2.02,2.1,잠재능력우수자서류,3.36,3.36,2.04,2.04,85,1/3,국수영탐(1)
가톨릭대,국어국문학과,경인권,경기,부천시,인문,국어국문학과,지역균형,2.54,2.76,1.6,1.72,,,,,,,,,,,잠재능력우수자면접,3.32,3.47,2.02,2.1,잠재능력우수자서류,3.36,3.36,2.04,2.04,92.5,3/2,"국수 중 1개, 탐(1)"
가톨릭대,국제학부,경인권,경기,부천시,인문,국제학부,지역균형,2.47,2.63,1.57,1.65,,,,,,,,,,,잠재능력우수자서류,3.2,4.03,1.95,2.42,잠재능력우수자면접,3.16,4.04,1.93,2.42,85,1/3,국수영탐(1)
가톨릭대,국제학부,경인권,경기,부천시,인문,국제학부,지역균형,2.47,2.63,1.57,1.65,,,,,,,,,,,잠재능력우수자서류,3.2,4.03,1.95,2.42,잠재능력우수자면접,3.16,4.04,1.93,2.42,92.5,3/2,"국수 중 1개, 탐(1)"
가톨릭대,데이터사이언스학과,경인권,경기,부천시,자연,데이터사이언스학과,지역균형,2.46,2.55,1.56,1.61,,,,,,,,,,,잠재능력우수자서류,3.49,3.51,2.11,2.12,잠재능력우수자면접,3.07,3.75,1.89,2.25,85.9,1/4,국수영탐(1)
가톨릭대,물리학과,경인권,경기,부천시,자연,물리학과,지역균형,2.57,2.57,1.62,1.62,,,,,,,,,,,잠재능력우수자면접,3.36,3.5,2.04,2.12,잠재능력우수자서류,2.95,3.09,1.83,1.9,86.7,1/3,국수영탐(1)
가톨릭대,물리학과,경인권,경기,부천시,자연,물리학과,지역균형,2.57,2.57,1.62,1.62,,,,,,,,,,,잠재능력우수자면접,3.36,3.5,2.04,2.12,잠재능력우수자서류,2.95,3.09,1.83,1.9,93,4/3,"국수 중 1개, 탐(1)"
가톨릭대,미디어기술콘텐츠학과,경인권,경기,부천시,자연,미디어기술콘텐츠학과,지역균형,2.66,2.72,1.67,1.7,,,,,,,,,,,잠재능력우수자면접,3.17,3.31,1.94,2.01,잠재능력우수자서류,2.99,3.01,1.85,1.86,86.7,1/3,국수영탐(1)
가톨릭대,미디어기술콘텐츠학과,경인권,경기,부천시,자연,미디어기술콘텐츠학과,지역균형,2.66,2.72,1.67,1.7,,,,,,,,,,,잠재능력우수자면접,3.17,3.31,1.94,2.01,잠재능력우수자서류,2.99,3.01,1.85,1.86,93,4/3,"국수 중 1개, 탐(1)"
가톨릭대,바이오로직스공학부,경인권,경기,부천시,자연,바이오로직스공학부,지역균형,2.41,2.41,1.53,1.53,,,,,,,,,,,0,,,,,잠재능력우수자서류,2.48,2.53,1.57,1.6,85,4/4,국수영탐(1)
가톨릭대,바이오메디컬소프트웨어학과,경인권,경기,부천시,자연,바이오메디컬소프트웨어학과,지역균형,2.51,2.52,1.59,1.59,,,,,,,,,,,잠재능력우수자면접,2.85,3.12,1.77,1.91,잠재능력우수자서류,2.6,2.68,1.63,1.68,85.9,2/3,국수영탐(1)
가톨릭대,바이오메디컬화학공학과,경인권,경기,부천시,자연,바이오메디컬화학공학과,지역균형,2.05,2.07,1.34,1.35,,,,,,,,,,,잠재능력우수자면접,2.7,2.74,1.69,1.71,잠재능력우수자서류,2.44,2.56,1.55,1.61,86.7,1/3,국수영탐(1)
가톨릭대,바이오메디컬화학공학과,경인권,경기,부천시,자연,바이오메디컬화학공학과,지역균형,2.05,2.07,1.34,1.35,,,,,,,,,,,잠재능력우수자면접,2.7,2.74,1.69,1.71,잠재능력우수자서류,2.44,2.56,1.55,1.61,93,4/3,"국수 중 1개, 탐(1)"
가톨릭대,법학과,경인권,경기,부천시,인문,법학과,지역균형,2.27,2.47,1.46,1.57,,,,,,,,,,,잠재능력우수자면접,2.77,3.07,1.72,1.89,잠재능력우수자서류,2.95,2.95,1.83,1.83,85,1/3,국수영탐(1)
가톨릭대,법학과,경인권,경기,부천시,인문,법학과,지역균형,2.27,2.47,1.46,1.57,,,,,,,,,,,잠재능력우수자면접,2.77,3.07,1.72,1.89,잠재능력우수자서류,2.95,2.95,1.83,1.83,92.5,3/2,"국수 중 1개, 탐(1)"
